Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Unknown Annotation,"BeforeAll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"Box.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,33,4,29,14,9,0,,12,21,14,9,,1,,0,,,"0,00",8
File,"Card.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,32,7,25,10,8,0,,11,18,10,8,,1,,0,,,"0,00",6
File,"CardManager.java",5,0,5,0,2,"0,00","0,00",0,0,,,,,1,1,1,9,,9,8,2,9,,0,2,0,7,,69,13,56,22,25,0,,26,42,23,23,,3,,2,,,"0,00",14
File,"CardTest.java",8,0,8,0,1,"0,00","0,00",0,0,,,,,1,1,1,6,,6,5,0,6,,6,0,0,0,,61,9,52,33,18,0,,21,28,16,17,,1,,0,,,"0,00",6
Unknown Annotation,"DisplayName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"FlashCard.java",6,1,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,4,,4,4,0,4,,2,0,0,2,,33,7,26,14,9,0,,12,18,12,9,,2,,1,,,"0,00",5
File,"LeitnerSystem.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,7,,7,7,1,7,,2,0,0,5,,56,11,45,17,21,0,,21,32,15,20,,2,,1,,,"0,00",10
File,"Main.java",3,1,2,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,11,3,6,4,0,2,,2,4,4,0,,1,,0,,,"0,33",1
File,"MainTest.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,14,4,10,7,2,0,,5,7,6,1,,1,,0,,,"0,00",1
Unknown Annotation,"Order",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"Override",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"StudyMethod.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,3,3,2,3,,2,0,0,1,,12,1,11,7,4,0,,7,9,7,2,,1,,0,,,"0,00",1
Unknown Annotation,"Test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"TestMethodOrder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Package,"org",0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,,,"0,00",0
Package,"org.example",4,1,4,0,1,,,,,,,,,2,1,0,,2,,1,0,2,,1,0,0,1,,25,7,16,11,2,2,,7,11,10,1,,1,,0,,,"0,13",2
Public Class,"org.example.Main",3,1,2,0,1,,,,,1,0,0,0,,1,0,,,,0,0,1,1,0,0,0,1,,4,1,3,2,0,0,,0,2,2,0,,1,1,0,0,0,"0,00",1
Public Static Method,"org.example.Main.main",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,1,0,0,0,0,1,1,0,1,,,0,,,"0,00",1
Class,"org.example.MainTest",5,0,5,0,1,,,,,1,2,2,0,,0,0,,,,1,0,1,1,1,0,0,0,,7,1,6,4,2,0,,2,4,3,1,,1,1,0,0,0,"0,00",1
